tractcode,State,avg_tract_sales_volume_assets,POPULATION_2020,POP20_SQMI,SQMI,2022_Median_Household_Income,lat,long,total_population,unemployed,percent_unemployed,med_income,med_age,avg_dist_traveled_per_person_from_tract_to_business_in_miles,count_gas_stations,avg_gas_station_visits_on_weekday,avg_gas_station_visits_on_weekend,land_m
04003000600,AZ,3738.0,2600,11.6,224.64,43990,31.3573887,-109.5684393,"28,600",992,3.47,"39,298",36.0,23.75,4,90.0,95.0,6.0878571E8
04007000500,AZ,1472.0,5706,52.0,109.75,48574,34.2299553,-111.3233623,"143,748","2,511",1.75,"36,558",58.0,63.45,4,363.0,479.0,2.84207908E8
04005000500,AZ,3312.0,5007,1236.3,4.05,68980,35.2227946,-111.5512598,"530,000","11,875",2.24,"65,762",35.0,98.73,4,201.0,222.0,1.0587878E7
04013071509,AZ,4597.0,5603,3028.6,1.85,99860,33.6160402,-112.2315142,"351,360","11,008",3.13,"94,227",47.0,5.94,4,538.0,475.0,4795612.0
04005944900,AZ,8377.0,3888,39.2,99.1,60114,36.1257278,-111.2249579,"132,408","5,292",4.0,"50,986",31.0,0.0,4,159.0,164.0,2.56564189E8
04012020602,AZ,29922.0,983,3.3,297.23,39485,33.6266887,-114.5150034,"12,216",824,6.75,"34,074",42.0,52.36,4,328.0,416.0,7.5350592E8
04012020201,AZ,1200.0,1773,91.9,19.29,38772,34.2001451,-114.1921774,"50,058","2,727",5.45,"39,676",61.0,86.67,4,94.0,129.0,4.9198693E7
04005000200,AZ,2817.0,4097,1001.7,4.09,81702,35.2050578,-111.6358297,"29,600",984,3.32,"71,276",42.0,97.5,4,92.0,113.0,1.0191802E7
04005000800,AZ,3543.0,6313,2505.2,2.52,37895,35.194394,-111.6508851,"176,094","10,557",6.0,"35,892",24.0,96.96,4,148.0,181.0,5956614.0
04001944201,AZ,3265.0,4021,20.7,193.93,28170,36.1534278,-109.6853411,"120,771","1,539",1.27,"28,765",29.0,0.0,4,47.0,32.0,5.02006308E8
04013061011,AZ,1833.0,7598,1190.9,6.38,98919,33.5148586,-112.3324415,"63,448",872,1.37,"93,835",30.0,8.05,4,204.0,186.0,1.5629319E7
04001970501,AZ,1379.0,4449,721.1,6.17,53853,34.1224423,-109.2706501,"328,128","4,544",1.38,"63,292",39.0,91.01,4,68.0,77.0,1.5979981E7
04005000400,AZ,1449.0,5343,5088.6,1.05,79399,35.2198738,-111.6017771,"664,875","10,875",1.64,"64,603",37.0,97.76,4,32.0,24.0,2739349.0
04003000303,AZ,1536.0,3400,5.3,645.32,60541,31.9915151,-110.3421459,"94,176","1,755",1.86,"50,714",53.0,21.85,4,80.0,103.0,1.670030054E9
04013050603,AZ,16664.0,4592,3.4,1334.11,60023,33.2018742,-113.0652651,"160,002","8,343",5.21,"56,682",37.0,39.05,4,339.0,323.0,3.451456707E9
